doug234 - LEFT  - :: 0.35018478002378123 | 72.0878 | 0.02380952380952378 | 0.34705882352941175 | 0.497005988023952
doug234 - RIGHT - :: 0.3105036662703131 | 74.79899999999999 | 0.025490196078431338 | 0.35294117647058826 | 0.4838709677419355
doug336 - LEFT  - :: 0.26917774101931896 | 52.035199999999996 | 0.036111111111111094 | 0.23725490196078433 | 0.5412844036697249
doug336 - RIGHT - :: 0.22923943697138038 | 51.774 | 0.04320987654320987 | 0.22941176470588234 | 0.5576923076923076
doug333 - LEFT  - :: 0.407643119779872 | 70.975 | 0.027777777777777773 | 0.32745098039215687 | 0.4487179487179486
doug333 - RIGHT - :: 0.39607649937906353 | 66.6048 | 0.028205128205128216 | 0.307843137254902 | 0.45273631840796014
doug262 - LEFT  - :: 0.1372401061383096 | 43.807 | 0.014492753623188396 | 0.2411764705882353 | 0.6513761467889908
doug262 - RIGHT - :: 0.11564470795816341 | 43.8648 | 0.01428571428571431 | 0.2411764705882353 | 0.6376811594202899
doug301 - LEFT  - :: 0.42383095924050435 | 67.7846 | 0.021072796934865873 | 0.34509803921568627 | 0.5797101449275363
doug301 - RIGHT - :: 0.3786932532963108 | 77.31219999999999 | 0.023255813953488358 | 0.3823529411764706 | 0.5679012345679013
doug322 - LEFT  - :: 0.1093489606811921 | 31.485599999999998 | 0.008620689655172412 | 0.17254901960784313 | 0.580952380952381
doug322 - RIGHT - :: 0.09026160781367394 | 29.287399999999998 | 0.008474576271186437 | 0.1588235294117647 | 0.5625
doug315 - LEFT  - :: 0.07889240583583024 | 29.0656 | 0.014184397163120569 | 0.15490196078431373 | 0.5652173913043478
doug315 - RIGHT - :: 0.08945209601141248 | 31.834600000000002 | 0.02046783625730995 | 0.17058823529411765 | 0.6756756756756758
doug212 - LEFT  - :: 0.5386991758241757 | 98.2164 | 0.01709401709401709 | 0.496078431372549 | 0.5567010309278351
doug212 - RIGHT - :: 0.5135526295133437 | 100.715 | 0.019379844961240306 | 0.49607843137254903 | 0.5359116022099448
doug276 - LEFT  - :: 0.15252545090245073 | 41.5984 | 0.014403292181069968 | 0.22745098039215686 | 0.6229508196721311
doug276 - RIGHT - :: 0.15874930776322352 | 45.944199999999995 | 0.015555555555555526 | 0.24509803921568626 | 0.6129032258064516
doug223 - LEFT  - :: 0.37760151322493657 | 57.5708 | 0.016081871345029246 | 0.30000000000000004 | 0.576923076923077
doug223 - RIGHT - :: 0.39757477297116933 | 71.1128 | 0.018372703412073494 | 0.36274509803921573 | 0.5582329317269076
doug279 - LEFT  - :: 0.32864982637410806 | 61.035399999999996 | 0.017133956386292837 | 0.3235294117647059 | 0.6153846153846153
doug279 - RIGHT - :: 0.3298438537158839 | 61.4894 | 0.017948717948717923 | 0.3254901960784314 | 0.6164383561643837
doug360 - LEFT  - :: 0.24292803529656606 | 56.3634 | 0.018292682926829285 | 0.296078431372549 | 0.6047904191616768
doug360 - RIGHT - :: 0.22900441639958377 | 53.0012 | 0.017182130584192434 | 0.2784313725490196 | 0.6167664670658682
doug339 - LEFT  - :: 0.4095841700118063 | 63.769 | 0.018333333333333313 | 0.3235294117647059 | 0.553072625698324
doug339 - RIGHT - :: 0.3688810011806375 | 64.1508 | 0.01909722222222221 | 0.3254901960784313 | 0.5542168674698794
doug300 - LEFT  - :: 0.11894820651154368 | 29.4476 | 0.0031446540880503324 | 0.19411764705882353 | 0.7419354838709677
doug300 - RIGHT - :: 0.09760889768652388 | 32.878 | 0.00512820512820511 | 0.21176470588235294 | 0.7355371900826446
doug231 - LEFT  - :: 0.36568836541223787 | 78.3438 | 0.014851485148514846 | 0.388235294117647 | 0.46987951807228917
doug231 - RIGHT - :: 0.3540745188164321 | 77.349 | 0.016666666666666663 | 0.3784313725490196 | 0.46892655367231634
doug236 - LEFT  - :: 0.41450531811947844 | 68.76219999999999 | 0.03125 | 0.33137254901960783 | 0.6276595744680851
doug236 - RIGHT - :: 0.4000102561246441 | 72.11519999999999 | 0.030075187969924793 | 0.34901960784313724 | 0.5979381443298969
doug240 - LEFT  - :: 0.4346893931087415 | 93.2242 | 0.021929824561403504 | 0.48823529411764705 | 0.6780487804878049
doug240 - RIGHT - :: 0.4144188043090924 | 102.3698 | 0.02229299363057326 | 0.5294117647058824 | 0.717948717948718
doug222 - LEFT  - :: 0.45808508128544434 | 81.2284 | 0.012681159420289856 | 0.42156862745098034 | 0.5312499999999999
doug222 - RIGHT - :: 0.4613400680529301 | 86.2388 | 0.013888888888888876 | 0.4392156862745098 | 0.5185185185185185
doug200 - LEFT  - :: 0.323488840976633 | 42.6994 | 0.017361111111111122 | 0.21176470588235294 | 0.4999999999999999
doug200 - RIGHT - :: 0.18386428762892604 | 44.9068 | 0.01977401129943503 | 0.22156862745098038 | 0.4961832061068701
doug216 - LEFT  - :: 0.4146801831247494 | 82.2192 | 0.013888888888888895 | 0.4294117647058823 | 0.5544041450777203
doug216 - RIGHT - :: 0.5983279363090165 | 93.6508 | 0.015366430260047284 | 0.4725490196078431 | 0.5465587044534412
doug297 - LEFT  - :: 0.34731371878715817 | 57.6142 | 0.010256410256410256 | 0.31960784313725493 | 0.6067415730337079
doug297 - RIGHT - :: 0.24576596313912014 | 51.2034 | 0.011737089201877956 | 0.2823529411764706 | 0.6058394160583942
doug350 - LEFT  - :: 0.20510962635774743 | 46.5696 | 0.01155115511551156 | 0.25882352941176473 | 0.6212121212121212
doug350 - RIGHT - :: 0.19543460234316629 | 52.8412 | 0.013201320132013195 | 0.29215686274509806 | 0.6282051282051282
